item.copper_pickaxe 銅のツルハシ
item.scuba_helmet.desc 水中で息ができるようになる
item.curse_of_core コアの呪い
item.curse_of_core.desc 「痛みと苦しみを起こす可能性があります」
item.cosmic_radiation 宇宙線
item.cosmic_radiation.desc 「ビットフリップを起こす可能性があります」
item.paint_roller ペイントローラー
item.paint_roller_earthy ペイントローラー（土っぽいパレット）
item.paint_roller_pastel ペイントローラー（パステルのパレット）
item.wallpaper 壁紙
item.wallpaper.desc 石膏ボードにのみ適用可能
item.permafrost 永久凍土
item.cobalt_ore コバルト鉱石
item.amethyst_ore アメジスト
item.sapphire_ore サファイア
item.diamond_ore ダイヤモンド
item.cobalt_plated_stone コバルトメッキされた石
item.alpha_shop アルファショップ
item.alpha_shop.desc （NPCが追加された際に削除されます）
item.white_torch 白いたいまつ
item.ice_crate 氷の木箱
item.ice_chest 凍った宝箱
item.table 机
item.chair 椅子
item.basic_lamp テーブルランプ
item.snow_dungeon_bricks 雪原のダンジョンレンガ
item.snow_dungeon_lamp 雪原のダンジョンランプ
item.pressure_plate_small 小さい感圧版
item.icycle 氷柱
item.switch スイッチ
item.cobalt_bars コバルト格子
item.drywall 石膏ボード
item.cotton_candy 綿飴
item.amethyst_block アメジストブロック
item.sapphire_block サファイアブロック
item.diamond_block ダイヤモンドブロック
item.mint_seed ミントの種
item.painting_blue 絵画（紺色）
item.painting_city 絵画（都市）
item.painting_desolate 絵画（荒涼）
item.painting_figure 絵画（謎の人物）
item.painting_bird 絵画（鳥）
item.painting_undergrowth 絵画（繁茂）
item.structure_save ストラクチャー セーブ
item.structure_load ストラクチャー ロード
item.structure_latch ストラクチャー ラッチ
item.structure_marker ストラクチャー マーカー
item.structure_noreplace ストラクチャー 置換なし
item.fluid.empty 液体なし
item.fluid.water 水
item.fluid.lava 溶岩
item.raygun_death 死のレイガン
item.ice_torch 氷のたいまつ
item.arcade_carpet アーケードカーペット
item.painting_snowman 絵画（雪だるま）
item.big_snowball デカい雪玉
item.big_snowball.desc 「雪だるまつくろう」
item.snow_boss_base 氷結の祭壇
item.evil_tophat 邪悪なトップハット
item.evil_tophat.desc 「生命を作る可能性がある」
item.blank_block ブランクブロック
item.grid_block グリッドブロック

item.carving_knife くり抜きナイフ
item.carving_knife.desc かぼちゃをくり抜くのに最適 
item.spawn_fuzzy モフモフ をスポーン
item.spawn_fuzzy_green 森のモフモフ をスポーン
item.spawn_fuzzy_ice 凍ったモフモフ をスポーン
item.spawn_hog イノシシ をスポーン
item.spawn_skeleton ガイコツ をスポーン
item.spawn_wizard 魔術師 をスポーン
item.spawn_wizard_ice 氷の魔術師 をスポーン
item.spawn_mushroomer シュルーマー をスポーン
item.spawn_nightflyer レイス をスポーン
item.spawn_snowman 雪だるま をスポーン
item.spawn_stone_golem Spawn 岩のゴーレム をスポーン
item.spawn_yeti イエティ をスポーン
item.spawn_zombie ゾンビ をスポーン
item.spawn_pukeko シネバード をスポーン
item.poo_gem ウンコ宝石
item.lush_grass 緑豊かな草
item.dry_grass 秋の草
item.grass_tall_autumn 背の高い秋の草
item.grass_tall_lush 背の高い緑豊かな草
item.terracotta_tiles テラコッタタイル
item.ritual_torch 祭祀のたいまつ
item.spawner_block モンスタースポナー
item.sign 看板
item.glass_sign ガラス看板
item.screen_sign スクリーン看板
item.invisible_sign 透明看板
item.carved_pumpkin かぼちゃ
item.pumpkin_seed かぼちゃの種

item.basic_rod 木の釣り竿
item.basic_rod.desc 魚を捕まえることができる
item.sturdy_rod 頑丈な釣り竿
item.sturdy_rod.desc より強靭な魚を捕まえることができる
item.obsidian_rod 黒曜石の釣り竿
item.obsidian_rod.desc 「魚どもは私の存在におびえるのだ」
item.water_walking_potion 水上歩行のポーション
item.water_walking_potion.desc 水の上で歩くことを可能にする
item.crate_potion 木箱ポーション
item.crate_potion.desc 木箱を釣り上げる確率が高くなる
item.fish_fillet 魚の切り身
item.gormet_fish_fillet グルメな切り身
item.gormet_fish_fillet.desc 「美味しい！」
item.worm ワーム
item.worm.desc 釣り餌として使われる。
item.bug_bait 虫ベイト
item.bug_bait.desc より良い釣り餌として使われる。
item.rage_bait レイジベイト
item.rage_bait.desc より珍しい魚を引き寄せるが、引き寄せた魚を怒らせる
item.magnetic_bait 磁石ベイト
item.magnetic_bait.desc 木箱を釣り上げる可能性を上げる
item.fish_catfish ナマズ
item.fish_walleye ウォールアイ
item.fish_carp コイ
item.fish_tuna マグロ
item.fish_salmon サケ
item.fish_murray_cod マーレーコッド
item.fish_herring ニシン
item.fish_minnow ミノー
item.fish_lanternfish ランタンフィッシュ
item.fish_crystalfin クリスタルフィン
item.fish_fangtooth ファングトゥース
item.fish_blobfish ブロブフィッシュ
item.fish_nautilus オウムガイ
item.fish_smoulderfish スモルダーフィッシュ
item.fish_obsidieel オブシディウナギ
item.fish_stonefish ストーンフィッシュ
item.fish_rainbow_trout ニジマス
item.packed_dirt 固めた土
item.seaweed 海藻
item.lilypad スイレン
item.elevator エレベーター
item.elevator.desc ジャンプして上へ、スニークして下へ移動

item_tag.can_place 設置可能
item_tag.can_consume 消耗品
item_tag.axe_power 斧
item_tag.pickaxe_power ツルハシ
item_tag.swing_speed クールダウン
item_tag.hammer ハンマー
item_tag.cant_mine 採掘不可
item_tag.restores_health 回復量
item_tag.melee_damage 近接ダメージ
item_tag.defence 防御力
item_tag.required_ammo 必要な弾薬
item_tag.ammo 弾薬
item_tag.ranged_damage 遠隔ダメージ
item_tag.trinket トリンケット
item_tag.can_block ブロック
item_tag.knockback ノックバック

settings.field_of_view 視野
settings.max_fps 最大FPS
settings.render_distance 描画距離
settings.mouse_sensitivity マウス感度
settings.master_volume 音量（マスター）
settings.max_mesh_threads 最大メッシュスレッド数
settings.max_mesh_uploads 最大メッシュアップロード数（フレームあたり）
settings.show_control_hints 操作ヒントを表示
settings.auto_scale_ui UI自動スケール
settings.manual_ui_scale UIサイズ
settings.world_volume 音量（環境）
settings.music_volume 音量（BGM）
settings.ui_volume 音量（UI/プレイヤー）
settings.ambient_volume 音量（アンビエンス）
settings.autosave_interval オートセーブ間隔（分）
settings.autosave_enabled オートセーブ
settings.autosave_indicator オートセーブ インジケータ
settings.panicsave_enabled クラッシュした際に復旧用セーブファイルを作成
settings.view_bobbing 画面の揺れ
settings.screen_shake 被弾時の振動
settings.allow_noclip 壁抜け
settings.allow_infinite_item 無限アイテム
settings.allow_creative_menu クリエイティブメニュー
settings.allow_godmode ゴッドモード（ダメージを受けない）
settings.mob_spawning モンスターの出現
settings.current_language 現在の言語
settings.language_info 言語設定を完全に適用するには、Allumeria を再起動してください
settings.cave_culling 洞窟のカリング
settings.header_basic Basic
settings.vsync VSync
settings.view_bobbing_intensity 揺れの強度
settings.header_user_interface ユーザーインターフェイス
settings.header_advanced 高度な設定
settings.pixel_scale ピクセルのサイズ
settings.dither_shader ディザリング
settings.invert_mouse マウス入力の反転
settings.leaf_sway 葉っぱの揺れ
settings.dynamic_light 動的なライティング
settings.disable_launch_message 起動メッセージの無効化
settings.show_day_count 日数を表示する
settings.infinite_stamina 無限スタミナ
settings.edit_adventure_blocks アドベンチャーブロックの編集
settings.disable_mobs モンスターを無効化
settings.header_controls 操作
settings.header_keybinds キー割り当て
settings.slab_placement_mode 縦の設置モード
settings.reset_shape_on_swap スワップ時にブロック形状をリセット

settings_category.camera カメラ
settings_category.video ビデオ
settings_category.audio オーディオ
settings_category.controls 操作
settings_category.misc その他
settings_category.keybinds キー割り当て
settings_category.cheats チート
settings_category.language 言語

control_hint.open_inventory インベントリを開く
control_hint.close_inventory インベントリを閉じる
control_hint.close_menu メニューを閉じる
control_hint.split_stack スタックを分割する
control_hint.take_stack すべて取る
control_hint.drop_one １つ置く
control_hint.drop_stack すべて置く
control_hint.craft_one １つクラフト
control_hint.toggle_creative クリエイティブモードを切り替え
control_hint.use 使う
control_hint.use_item 使う
control_hint.place_item 置く
control_hint.punch 殴る
control_hint.unequip 外す
control_hint.equip 装備する
control_hint.change_shape 形状を変える
control_hint.show_recipes レシピを表示

keybind.move_forward 前
keybind.move_backward 後ろ
keybind.move_left 左
keybind.move_right 右
keybind.fly_down 下
keybind.fly_up 上
keybind.jump ジャンプ
keybind.noclip 壁抜け
keybind.place 置く/使う
keybind.punch 殴る
keybind.place_modifier 代替（置く）
keybind.open_inventory インベントリを開く
keybind.toggle_creative_menu クリエイティブメニューの切り替え
keybind.drop_item 落とす
keybind.drop_modifier 代替（落とす）
keybind.pause 一時停止
keybind.ui_confirm UI決定
keybind.ui_secondary UI二次
keybind.toggle_debug デバッグ表示の切り替え
keybind.toggle_profiler プロファイラ表示の切り替え
keybind.toggle_fullscreen フルスクリーンの切り替え
keybind.ui_up UI上
keybind.ui_down UI下
keybind.ui_left UI左
keybind.ui_right UI右
keybind.hotbar1 ホットバー スロット１
keybind.hotbar2 ホットバー スロット２
keybind.hotbar3 ホットバー スロット３
keybind.hotbar4 ホットバー スロット４
keybind.hotbar5 ホットバー スロット５
keybind.hotbar6 ホットバー スロット６
keybind.hotbar7 ホットバー スロット７
keybind.hotbar8 ホットバー スロット８
keybind.hotbar9 ホットバー スロット９
keybind.hotbar10 ホットバー スロット10
keybind.hotbar11 ホットバー スロット11
keybind.hotbar12 ホットバー スロット12
keybind.open_chat チャットを開く
keybind.send_chat メッセージを送る
keybind.toggle_hud HUD切り替え
keybind.take_screenshot スクリーンショットを撮る
keybind.open_radial ラジアルメニューを開く
keybind.sneak スニーク（トリンケットが必要）
keybind.sprint 走る（トリンケットが必要）
keybind.show_use アイテムの使い道を表示
keybind.show_recipe アイテムの作成方法を表示
keybind.pick_block ブロックを積む
keybind.scroll_up 上にスクロール
keybind.scroll_down 下にスクロール
keybind.favourite_item アイテムをお気に入りにする
keybind.fish_left 魚を左に引く
keybind.fish_right 魚を右に引く

ammo.arrow 矢
ammo.rock 小石
ammo.bullet 弾丸
ammo.snowball 雪玉

effect.poison 毒
effect.desc.poison ダメージを受けている
effect.regen 再生
effect.desc.regen 少しずつ体力を回復している
effect.wet 濡れた
effect.desc.wet 水浸しだ
effect.slowfall 低速落下
effect.desc.slowfall より遅く落下し、落下ダメージを受けない
effect.fire 燃焼
effect.desc.fire 燃えている！！
effect.healcooldown 回復クールダウン
effect.desc.healcooldown 今はアイテムを使って回復できない
effect.freezing 凍結
effect.desc.freezing 凍えてダメージを受けている
effect.fast 俊敏
effect.desc.fast 移動速度が速くなった
effect.slow 鈍足
effect.desc.slow 移動速度が遅くなった
effect.anchored 固定
effect.desc.anchored その場に固定されてしまった
effect.frozen 氷結
effect.desc.frozen 完全に凍って、何もできなくなった！
effect.watched 何かに見られている
effect.desc.watched ...
effect.flight 飛翔
effect.desc.flight 短い時間の間、飛翔ができる
effect.regen_potion 再生（ポーション）
effect.desc.regen_potion 少しずつ体力を回復している
effect.armoured 鉄壁
effect.desc.armoured 防御力が４ポイント上がった

effect.concussion 脳震盪
effect.desc.concussion Ouch! 移動速度が遅くなった
effect.snack おつまみ
effect.desc.snack たいていのステータスにごく小さい上昇
effect.small_meal 小食
effect.desc.small_meal たいていのステータスに小さい上昇
effect.webbed クモの巣
effect.desc.webbed クモの巣に絡まれた

effect.water_walking 水上歩行
effect.desc.water_walking 水の上で歩ける
effect.crate_potion 木箱ポーション
effect.desc.crate_potion 木箱を釣り上げる確率が上昇した

effect.fast_mining 高速採掘
effect.desc.fast_mining 採掘速度が上がった

crafting_station.inventory 手で
crafting_station.work_bench 作業台
crafting_station.furnace かまど
crafting_station.anvil 金床
crafting_station.decorations 装飾台
crafting_station.potions 錬金台

loading.tip0 敵は自然生成したブロックの上のみにスポーンします。
loading.tip1 インベントリで「R」を押してアイテムのレシピを見ることができます。
loading.tip2 ブロックを持っているときに「R」を長押しで、そのブロックの形状を変えることができます。
loading.tip3 作物はときおり突然変異するかもしれません！
loading.tip4 地下とダンジョンに仕掛けられたワナに気を付けましょう。
loading.tip5 レールは壁に置いたりさかさまに置いたりできます。
loading.tip6 たいまつを地下に置いても、モンスターはスポーンします。
loading.tip7 リスポーンポインターを使えば、スポーン地点を設定できます。
loading.tip8 帰還のポーションを使えば、スポーン地点に戻ることができます。
loading.tip9 「CTRL」を押しながらアイテムをクリックすると、そのアイテムを素早くゴミ箱スロットに移動できます。
loading.tip10 近くのチェストにアイテムを自動でスタックできます。
loading.tip11 インベントリをソートできます。
loading.tip12 一部の武器は、敵からの攻撃をブロックできます。
loading.tip13 装飾台を使えば、さまざまな装飾ブロックを作成できます。
loading.tip14 火打ち石と作業台を使って基本的な道具を作れます。
loading.tip15 強力なツルハシがあれば、向こう側を見ることができるでしょう。
loading.tip16 時には、直下掘りするときが良い場合もあります。
loading.tip17 バグを発見したら、Discord で報告してください。
loading.tip18 フィードバックがあるなら、Discord サーバーに参加するか、フィードバック フォーラムに書き込みましょう。
loading.tip19 道具の耐久力？そんなの知らない。
loading.tip20 雑草を育てさせると、突然変異するかもしれません...
loading.tip21 「F11」を押して、フルスクリーン表示を切り替えできます。
loading.tip22 ボス戦中にバスケットボールをすると、良いことがあるかもしれません。
loading.tip23 ハートビートを見つけたら、それを使えば最大体力を上げることができます。
loading.tip24 爆矢は、近接戦では危険です。
loading.tip25 作物は、水をあげないと成長しません。

colour.clear クリア
colour.white 白色
colour.grey 灰色
colour.dark_grey ダークグレー色
colour.black 黒色
colour.red 赤色
colour.orange 橙色
colour.yellow 黄色
colour.lime 黄緑色
colour.green 緑色
colour.turqoise ターコイズ色
colour.blue 青色
colour.dark_blue 紺色
colour.purple 紫色
colour.pink 桃色
colour.light_pink 桜色
colour.brown 茶色
colour.algae 海藻色
colour.moss 苔色
colour.forest 森林色
colour.ocean 海色
colour.mud 泥色
colour.clay 粘土色
colour.sand 砂色
colour.powder 粉色
colour.none なし
colour.orange_sherbet ミカン色
colour.lemon_yellow レモン色
colour.pale_yellow 薄黄色
colour.mint ミント色
colour.baby_blue ベビーブルー色
colour.lavender ラベンダー色
colour.pastel_pink パステルピンク色
